Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ALV,"Autoliv, Inc.",70.12,$6.12B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/alv
ALX,"Alexander&#39;s, Inc.",254.58,$1.3B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alx
AM,Antero Midstream Corporation,5.78,$2.75B,2017,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/am
AMBC,"Ambac Financial Group, Inc.",12.91,$591.01M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ambc
AMBC.WS,"Ambac Financial Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ambc.ws
AMC,"AMC Entertainment Holdings, Inc.",3.87,$403.72M,2013,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/amc
AMCR,Amcor plc,10.82,$17.04B,2019,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/amcr
AME,"AMTEK, Inc.",93.05,$21.35B,n/a,Consumer Durables,Metal Fabrications,https://old.nasdaq.com/symbol/ame
AMG,"Affiliated Managers Group, Inc.",71.52,$3.38B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/amg
AMH,American Homes 4 Rent,27.62,$8.32B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amh
AMK,"AssetMark Financial Holdings, Inc.",27.76,$2.01B,2019,Finance,Investment Managers,https://old.nasdaq.com/symbol/amk
AMN,AMN Healthcare Services Inc,54.24,$2.55B,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/amn
AMOV,"America Movil, S.A.B. de C.V.",13.13,$57.18B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amov
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",156.34,$19.13B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/amp
AMPY,"MIDSTATES PETROLEUM COMPANY, INC.",1.47,$55.22M,2016,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ampy
AMRC,"Ameresco, Inc.",28.66,$1.36B,2010,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/amrc
AMRX,"Amneal Pharmaceuticals, Inc.",4.11,$1.23B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amrx
AMT,American Tower Corporation (REIT),260.31,$115.4B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amt
AMX,"America Movil, S.A.B. de C.V.",13.28,$57.83B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amx
AN,"AutoNation, Inc.",56.5,$4.93B,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/an
ANET,"Arista Networks, Inc.",245.83,$18.61B,2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/anet
ANF,Abercrombie & Fitch Company,9.69,$604.42M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf
ANH,Anworth Mortgage Asset  Corporation,1.8,$178.09M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/anh
ANTM,"Anthem, Inc.",263.99,$66.56B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/antm
AOD,Aberdeen Total Dynamic Dividend Fund,7.88,$830.8M,2007,n/a,n/a,https://old.nasdaq.com/symbol/aod
AON,Aon plc,207.02,$47.93B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/aon
AOS,A.O Smith Corporation,52.84,$8.51B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos
AP,Ampco-Pittsburgh Corporation,2.9,$37.1M,n/a,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/ap
APAM,Artisan Partners Asset Management Inc.,34.37,$2.7B,2013,Finance,Investment Managers,https://old.nasdaq.com/symbol/apam
APD,"Air Products and Chemicals, Inc.",294.71,$65.1B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/apd
